category,kgco2e_per_usd
beef,3.298
poultry,1.171
dairy,2.578
produce,0.588
restaurant,0.218
packaged_food,0.603
beverages,0.378
clothing,0.145
electronics,0.112
household,0.405
unknown,0.208
